client_id,age,marital,job,credit_default,education,mortgage
126,50,married,admin_,0,basic_6y,0
127,31,divorced,technician,0,professional_course,1
128,56,married,retired,0,basic_4y,1
129,41,married,technician,unknown,professional_course,1
130,37,married,blue-collar,0,basic_6y,1
131,41,married,technician,unknown,professional_course,0
132,35,married,blue-collar,0,,1
133,37,married,blue-collar,0,basic_6y,1
134,52,married,management,0,university_degree,0
135,39,divorced,management,0,university_degree,0
136,39,married,housemaid,unknown,basic_4y,0
137,56,married,blue-collar,unknown,basic_4y,0
138,34,married,services,0,high_school,1
139,45,married,blue-collar,unknown,basic_9y,1
140,43,single,unemployed,0,university_degree,1
141,56,married,management,0,,1
142,39,married,management,0,university_degree,1
143,53,married,blue-collar,0,basic_4y,1
144,38,divorced,unknown,unknown,high_school,1
145,42,married,blue-collar,unknown,basic_4y,1
146,42,married,blue-collar,unknown,basic_4y,0
147,35,single,admin_,0,high_school,1
148,40,married,admin_,unknown,university_degree,1
149,51,married,blue-collar,0,basic_4y,1
150,60,married,blue-collar,unknown,basic_9y,0
151,56,married,entrepreneur,unknown,,1
152,39,divorced,services,unknown,high_school,1
153,56,married,entrepreneur,unknown,,0
154,40,married,blue-collar,0,,1
155,36,married,blue-collar,0,basic_9y,1
156,51,married,blue-collar,unknown,,1
157,51,married,blue-collar,unknown,,0
158,43,single,technician,0,professional_course,1
159,59,married,services,0,high_school,0
160,24,single,management,0,university_degree,1
161,37,single,blue-collar,unknown,basic_9y,1
162,40,married,blue-collar,unknown,basic_9y,0
163,42,married,blue-collar,unknown,basic_9y,0
164,39,divorced,services,unknown,high_school,0
165,37,married,entrepreneur,0,basic_6y,0
166,38,married,services,0,high_school,1
167,56,divorced,admin_,unknown,,0
168,40,married,blue-collar,0,,0
169,54,divorced,management,0,university_degree,1
170,43,married,blue-collar,unknown,high_school,0
171,36,married,services,unknown,high_school,0
172,45,married,technician,0,university_degree,1
173,42,single,admin_,unknown,university_degree,0
174,43,married,services,0,high_school,0
175,46,married,management,0,basic_9y,0
176,44,married,services,0,high_school,1
177,51,single,admin_,0,basic_6y,0
178,28,married,services,0,high_school,1
179,37,married,blue-collar,0,basic_9y,0
180,34,married,technician,0,high_school,0
181,46,married,blue-collar,unknown,basic_6y,1
182,42,married,blue-collar,0,basic_9y,1
183,36,married,admin_,0,university_degree,1
184,54,married,blue-collar,unknown,basic_4y,0
185,57,married,management,0,university_degree,0
186,51,married,technician,unknown,basic_6y,0
187,54,married,retired,unknown,high_school,0
188,49,married,blue-collar,unknown,basic_4y,0
189,34,married,admin_,0,university_degree,1
190,41,married,technician,0,professional_course,0
191,38,single,blue-collar,0,basic_9y,1
192,45,divorced,management,0,university_degree,0
193,42,married,technician,0,university_degree,0
194,34,single,blue-collar,unknown,basic_9y,1
195,48,married,blue-collar,0,basic_4y,1
196,37,married,admin_,unknown,high_school,1
197,34,single,blue-collar,unknown,basic_9y,0
198,40,married,admin_,unknown,basic_9y,1
199,43,married,blue-collar,0,basic_6y,1
200,33,married,services,0,high_school,0
201,32,single,services,0,basic_6y,0
202,39,married,blue-collar,0,high_school,1
203,43,married,admin_,0,,0
204,44,married,blue-collar,0,basic_9y,1
205,35,single,student,unknown,university_degree,0
206,35,single,student,unknown,university_degree,1
207,35,married,unemployed,0,professional_course,0
208,36,single,services,0,basic_4y,0
209,35,single,student,unknown,university_degree,1
210,36,single,student,0,basic_9y,1
211,55,divorced,housemaid,0,university_degree,0
212,59,married,admin_,0,university_degree,0
213,57,married,retired,unknown,,0
214,39,married,blue-collar,unknown,professional_course,1
215,39,married,housemaid,unknown,basic_4y,1
216,30,single,blue-collar,0,,1
217,30,single,blue-collar,0,,1
218,50,married,housemaid,unknown,basic_4y,0
219,40,married,services,0,high_school,0
220,35,married,admin_,0,high_school,1
221,43,married,technician,unknown,,0
222,36,single,services,unknown,basic_6y,1
223,46,married,technician,unknown,basic_4y,1
224,40,married,technician,0,basic_9y,0
225,58,married,retired,0,university_degree,0
226,42,married,technician,0,university_degree,0
227,35,single,admin_,0,university_degree,0
228,43,married,retired,unknown,basic_4y,0
229,45,married,blue-collar,0,basic_4y,1
230,39,married,admin_,0,professional_course,1
231,50,divorced,services,0,professional_course,1
232,32,divorced,management,unknown,basic_4y,1
233,39,married,admin_,unknown,high_school,0
234,52,married,self-employed,unknown,university_degree,0
235,44,married,admin_,0,professional_course,1
236,56,married,blue-collar,0,basic_4y,0
237,48,married,admin_,0,high_school,0
238,33,married,services,unknown,high_school,0
239,43,married,management,unknown,university_degree,0
240,57,married,retired,0,high_school,0
241,36,single,technician,0,professional_course,0
242,34,married,management,0,university_degree,1
243,34,single,services,0,basic_9y,0
244,30,married,technician,unknown,university_degree,0
245,33,divorced,services,0,,0
246,32,single,technician,0,professional_course,0
247,36,single,technician,0,high_school,1
248,36,single,blue-collar,0,high_school,0
249,33,single,services,0,high_school,0
250,40,divorced,technician,0,professional_course,0
251,41,married,blue-collar,0,basic_4y,1
252,51,married,services,0,basic_6y,1
253,36,married,technician,0,professional_course,1
254,28,married,services,0,,0
255,53,married,services,0,high_school,1
256,58,married,blue-collar,unknown,basic_9y,1
257,45,married,management,0,basic_9y,0
258,43,married,technician,0,,1
259,33,married,admin_,0,high_school,0
260,33,married,admin_,0,high_school,0
261,27,single,blue-collar,0,basic_6y,unknown
262,42,married,technician,0,high_school,0
263,43,divorced,admin_,0,basic_9y,0
264,42,married,admin_,0,university_degree,0
265,27,single,blue-collar,0,basic_6y,0
266,34,single,self-employed,0,university_degree,1
267,31,single,student,unknown,university_degree,0
268,54,divorced,management,0,university_degree,0
269,40,married,self-employed,unknown,basic_4y,0
270,52,married,unemployed,unknown,high_school,1
271,47,divorced,management,0,university_degree,0
272,49,married,housemaid,unknown,basic_9y,0
273,32,single,admin_,0,high_school,0
274,49,single,housemaid,unknown,high_school,1
275,50,married,blue-collar,unknown,basic_9y,0
276,34,married,services,0,high_school,0
277,55,married,blue-collar,unknown,basic_4y,0
278,47,single,technician,0,basic_9y,0
279,51,married,retired,0,professional_course,0
280,47,married,blue-collar,0,basic_6y,0
281,56,married,technician,0,basic_4y,1
282,53,married,admin_,0,basic_9y,0
283,36,married,blue-collar,0,basic_9y,1
284,42,divorced,blue-collar,0,basic_9y,1
285,44,divorced,blue-collar,0,basic_6y,0
286,39,married,housemaid,0,basic_9y,1
287,37,single,admin_,0,high_school,1
288,60,married,blue-collar,unknown,,1
289,36,married,services,0,high_school,0
290,42,divorced,management,0,university_degree,1
291,31,married,admin_,0,high_school,1
292,53,divorced,technician,unknown,professional_course,0
293,45,married,blue-collar,0,basic_4y,1
294,37,single,technician,0,professional_course,1
295,47,married,self-employed,0,professional_course,0
296,49,divorced,blue-collar,0,high_school,0
297,36,married,admin_,0,university_degree,1
298,35,divorced,services,0,high_school,0
299,38,married,unknown,unknown,,0
300,38,single,services,unknown,high_school,0
301,50,divorced,blue-collar,unknown,high_school,0
302,59,married,retired,unknown,professional_course,0
303,43,married,unknown,0,,1
304,42,married,admin_,0,high_school,1
305,40,married,admin_,unknown,basic_6y,1
306,46,married,blue-collar,unknown,,0
307,57,divorced,housemaid,0,basic_4y,1
308,42,married,admin_,0,university_degree,1
309,41,married,blue-collar,0,basic_4y,1
310,54,divorced,management,0,university_degree,1
311,27,single,admin_,0,university_degree,0
312,36,married,admin_,0,high_school,0
313,58,married,blue-collar,unknown,professional_course,1
314,40,married,management,unknown,university_degree,1
315,34,single,admin_,unknown,basic_9y,0
316,33,divorced,admin_,0,high_school,0
317,56,married,retired,0,basic_6y,0
318,42,married,blue-collar,0,basic_9y,0
319,43,married,services,0,high_school,1
320,54,single,management,0,basic_9y,1
321,53,single,admin_,0,basic_6y,1
322,42,single,technician,0,,0
323,40,married,services,unknown,basic_6y,0
324,54,married,technician,0,professional_course,1
325,40,single,housemaid,0,professional_course,0
326,26,single,admin_,0,university_degree,1
327,33,married,admin_,0,high_school,0
328,35,married,blue-collar,unknown,basic_9y,0
329,36,married,admin_,0,high_school,0
330,29,single,services,0,high_school,1
331,36,married,blue-collar,0,basic_9y,1
332,35,married,management,0,high_school,1
333,50,single,self-employed,0,university_degree,0
334,46,married,services,unknown,high_school,1
335,49,married,entrepreneur,0,high_school,1
336,42,single,technician,unknown,professional_course,1
337,36,single,blue-collar,0,high_school,1
338,55,married,blue-collar,unknown,basic_9y,1
339,41,married,management,unknown,university_degree,0
340,57,married,management,unknown,professional_course,1
341,32,single,services,0,high_school,1
342,49,married,admin_,0,basic_9y,0
343,57,married,unknown,unknown,,1
344,58,divorced,blue-collar,0,basic_4y,1
345,52,married,technician,0,high_school,1
346,50,divorced,services,0,professional_course,0
347,41,single,blue-collar,unknown,basic_9y,1
348,33,married,entrepreneur,0,university_degree,1
349,57,married,blue-collar,0,basic_4y,0
350,48,married,blue-collar,unknown,basic_6y,0
351,55,married,technician,0,professional_course,0
352,38,married,management,0,university_degree,0
353,38,married,services,0,high_school,1
354,53,married,admin_,0,university_degree,1
355,43,single,unemployed,0,university_degree,0
356,36,single,blue-collar,0,high_school,0
357,32,married,blue-collar,0,basic_9y,0
358,33,married,services,0,basic_4y,0
359,58,married,entrepreneur,0,basic_4y,1
360,40,divorced,unemployed,unknown,high_school,0
361,57,married,management,0,university_degree,1
362,45,married,technician,0,high_school,1
363,42,married,blue-collar,unknown,basic_4y,1
364,46,married,admin_,0,university_degree,1
365,36,married,technician,0,university_degree,0
366,41,married,self-employed,0,high_school,1
367,57,divorced,admin_,0,basic_9y,0
368,49,married,blue-collar,unknown,basic_9y,1
369,56,divorced,management,0,high_school,0
370,37,married,blue-collar,0,basic_9y,0
371,37,married,blue-collar,0,basic_9y,0
372,46,single,admin_,0,high_school,1
373,22,single,blue-collar,0,basic_9y,1
374,43,married,services,0,high_school,0
375,49,married,blue-collar,0,,0
376,41,married,technician,0,basic_6y,1
377,38,single,admin_,0,university_degree,0
378,33,married,admin_,0,basic_9y,0
379,49,married,admin_,0,university_degree,1
380,30,single,blue-collar,0,,0
381,33,married,admin_,0,basic_9y,1
382,34,single,management,0,university_degree,0
383,30,single,student,unknown,,0
384,59,married,management,unknown,basic_4y,1
385,59,married,management,unknown,basic_4y,unknown
386,41,married,self-employed,0,university_degree,0
387,48,married,housemaid,unknown,basic_6y,1
388,28,single,unknown,unknown,,1
389,44,married,services,0,high_school,1
390,59,unknown,retired,unknown,university_degree,0
391,50,married,management,unknown,high_school,0
392,35,married,admin_,0,university_degree,0
393,42,married,admin_,0,high_school,0
394,45,married,admin_,0,basic_9y,0
395,36,married,technician,0,professional_course,0
396,56,married,services,unknown,high_school,0
397,29,divorced,blue-collar,0,basic_4y,0
398,41,married,self-employed,0,university_degree,1
399,42,married,blue-collar,unknown,basic_9y,0
400,52,single,services,0,high_school,0
401,48,married,services,unknown,high_school,unknown
402,31,married,blue-collar,unknown,high_school,1
403,43,married,unemployed,unknown,university_degree,1
404,36,married,blue-collar,unknown,basic_4y,0
405,42,married,entrepreneur,0,university_degree,1
406,52,divorced,services,0,basic_6y,0
407,39,married,admin_,0,high_school,1
408,36,married,services,0,high_school,0
409,42,married,blue-collar,unknown,basic_9y,1
410,41,married,admin_,0,high_school,0
411,55,married,technician,0,basic_4y,0
412,30,married,blue-collar,0,basic_9y,0
413,57,unknown,retired,0,basic_4y,0
414,45,married,entrepreneur,unknown,basic_4y,1
415,51,married,blue-collar,unknown,basic_4y,1
416,39,single,self-employed,unknown,basic_9y,1
417,47,married,admin_,unknown,high_school,0
418,27,married,services,0,high_school,1
419,34,single,technician,0,university_degree,1
420,57,married,blue-collar,unknown,basic_4y,1
421,43,married,entrepreneur,0,basic_4y,0
422,49,married,blue-collar,unknown,basic_4y,0
423,39,married,management,unknown,university_degree,0
424,38,married,blue-collar,unknown,basic_4y,1
425,49,married,blue-collar,0,basic_9y,0
426,58,married,management,0,basic_6y,0
427,43,married,technician,0,professional_course,1
428,50,married,unknown,unknown,,1
429,31,married,services,unknown,high_school,0
430,43,divorced,self-employed,0,university_degree,0
431,43,married,self-employed,unknown,basic_9y,0
432,30,single,self-employed,0,university_degree,1
433,27,single,services,0,professional_course,1
434,51,married,services,unknown,,0
435,37,married,technician,0,professional_course,1
436,46,married,housemaid,0,basic_9y,1
437,35,married,blue-collar,0,professional_course,0
438,47,divorced,admin_,0,university_degree,0
439,46,married,management,0,,1
440,40,married,technician,unknown,professional_course,0
441,26,married,housemaid,0,university_degree,0
442,32,divorced,blue-collar,unknown,basic_9y,0
443,45,married,management,0,university_degree,1
444,34,married,admin_,0,basic_9y,0
445,47,married,blue-collar,unknown,,0
446,42,married,technician,0,professional_course,0
447,57,married,technician,unknown,basic_4y,0
448,57,married,technician,unknown,basic_4y,0
449,38,married,blue-collar,0,basic_4y,0
450,57,married,technician,unknown,basic_4y,0
451,28,single,student,unknown,basic_9y,1
452,60,married,management,0,university_degree,0
453,48,married,admin_,0,university_degree,1
454,47,married,technician,0,professional_course,1
455,40,married,admin_,0,high_school,0
456,51,married,management,unknown,professional_course,1
457,48,single,unemployed,0,basic_4y,1
458,54,married,housemaid,0,basic_4y,0
459,40,married,blue-collar,0,basic_6y,0
460,44,single,admin_,unknown,basic_9y,0
461,42,divorced,technician,0,high_school,0
462,52,married,self-employed,0,university_degree,1
463,31,single,blue-collar,0,basic_9y,1
464,32,married,services,0,high_school,0
465,44,married,admin_,0,high_school,1
466,39,married,management,unknown,basic_6y,0
467,57,married,management,unknown,professional_course,1
468,52,married,admin_,0,basic_4y,1
469,42,married,management,0,university_degree,0
470,42,single,technician,unknown,professional_course,unknown
471,43,married,management,0,professional_course,1
472,31,divorced,admin_,0,high_school,0
473,29,married,admin_,unknown,university_degree,1
474,57,divorced,blue-collar,0,basic_4y,0
475,44,married,blue-collar,unknown,basic_9y,0
476,59,married,unknown,unknown,,0
477,39,married,blue-collar,unknown,basic_4y,0
478,57,married,retired,0,university_degree,0
479,41,married,management,unknown,,0
480,37,single,technician,unknown,high_school,0
481,38,married,services,0,high_school,1
482,42,married,retired,0,basic_4y,0
483,49,married,unknown,unknown,,1
484,54,married,management,unknown,basic_6y,1
485,36,married,admin_,0,university_degree,unknown
486,32,single,admin_,unknown,university_degree,0
487,35,married,technician,0,professional_course,1
488,45,married,housemaid,unknown,professional_course,0
489,56,married,technician,0,,1
490,34,married,technician,0,university_degree,1
491,41,married,unemployed,unknown,basic_9y,0
492,41,married,services,0,basic_9y,0
493,36,married,blue-collar,unknown,basic_9y,0
494,32,single,admin_,unknown,university_degree,unknown
495,31,married,services,unknown,high_school,unknown
496,38,married,technician,0,professional_course,1
497,35,divorced,admin_,unknown,university_degree,1
498,53,married,admin_,0,professional_course,1
499,51,married,admin_,unknown,basic_6y,1
500,56,married,entrepreneur,unknown,university_degree,0
501,33,married,admin_,0,basic_9y,unknown
502,33,married,admin_,0,basic_9y,0
503,51,divorced,services,unknown,high_school,1
504,39,married,services,unknown,high_school,1
505,45,married,entrepreneur,0,university_degree,0
506,40,single,technician,0,university_degree,0
507,60,single,unknown,unknown,,1
508,33,married,technician,0,university_degree,1
509,47,married,blue-collar,unknown,high_school,1
510,48,married,blue-collar,0,basic_4y,0
511,43,married,entrepreneur,0,high_school,0
512,37,married,management,0,university_degree,1
513,50,married,services,0,basic_9y,1
514,59,married,entrepreneur,0,high_school,1
515,32,married,technician,unknown,,1
516,42,single,housemaid,unknown,basic_4y,1
517,52,married,blue-collar,0,basic_4y,0
518,42,married,blue-collar,unknown,,0
519,42,married,admin_,0,,0
520,40,married,management,unknown,basic_9y,unknown
521,38,married,blue-collar,0,basic_9y,0
522,39,married,blue-collar,0,basic_6y,1
523,39,married,blue-collar,0,basic_6y,0
524,38,married,admin_,0,high_school,0
525,47,single,admin_,unknown,,1
526,30,single,services,0,high_school,0
527,38,divorced,admin_,0,high_school,1
528,39,divorced,technician,0,university_degree,0
529,44,married,admin_,0,high_school,0
530,36,married,admin_,0,high_school,0
531,41,married,services,unknown,high_school,1
532,41,married,blue-collar,0,basic_6y,0
533,35,married,blue-collar,0,basic_9y,0
534,41,married,technician,0,high_school,0
535,36,married,services,unknown,high_school,0
536,35,single,admin_,0,high_school,1
537,33,single,blue-collar,unknown,basic_4y,0
538,38,single,admin_,unknown,basic_6y,0
539,33,married,self-employed,0,university_degree,0
540,55,married,self-employed,unknown,,0
541,36,single,blue-collar,unknown,basic_9y,0
542,57,married,technician,unknown,professional_course,0
543,32,single,entrepreneur,0,university_degree,1
544,30,single,self-employed,0,high_school,1
545,43,married,admin_,0,professional_course,1
546,46,married,admin_,0,university_degree,0
547,35,divorced,admin_,0,high_school,0
548,34,single,admin_,0,university_degree,1
549,50,married,blue-collar,unknown,basic_4y,unknown
550,39,single,admin_,0,university_degree,0
551,39,married,blue-collar,unknown,basic_9y,0
552,42,married,entrepreneur,0,basic_6y,0
553,57,married,retired,0,university_degree,1
554,45,married,blue-collar,unknown,basic_4y,0
555,40,married,technician,0,basic_4y,0
556,42,married,blue-collar,0,high_school,0
557,40,married,technician,0,basic_4y,0
558,38,single,blue-collar,unknown,basic_4y,0
559,39,married,blue-collar,unknown,basic_6y,1
560,41,married,blue-collar,0,basic_4y,0
561,39,married,blue-collar,unknown,basic_6y,1
562,41,married,blue-collar,0,basic_4y,1
563,45,married,admin_,unknown,university_degree,0
564,35,divorced,admin_,0,university_degree,unknown
565,35,married,admin_,0,basic_6y,1
566,49,married,blue-collar,unknown,high_school,0
567,36,married,technician,0,,0
568,23,single,admin_,0,university_degree,0
569,43,married,unemployed,unknown,university_degree,unknown
570,49,married,entrepreneur,0,professional_course,unknown
571,36,married,technician,0,professional_course,unknown
572,51,married,blue-collar,unknown,basic_9y,1
573,56,married,retired,unknown,basic_4y,1
574,45,married,housemaid,0,high_school,0
575,42,married,admin_,0,high_school,0
576,41,divorced,admin_,0,high_school,0
577,32,married,services,unknown,high_school,0
578,46,married,management,0,university_degree,0
579,37,married,blue-collar,0,,0
580,53,married,management,unknown,university_degree,0
581,30,married,blue-collar,0,basic_4y,0
582,45,married,unknown,unknown,,0
583,24,single,technician,0,professional_course,0
584,45,married,unknown,unknown,,0
585,34,single,admin_,0,university_degree,0
586,41,married,management,unknown,university_degree,0
587,59,married,blue-collar,0,basic_4y,1
588,45,married,blue-collar,unknown,basic_4y,0
589,54,married,blue-collar,unknown,basic_6y,0
590,32,married,technician,0,professional_course,0
591,33,married,technician,0,professional_course,1
592,32,married,admin_,0,university_degree,0
593,34,single,services,0,high_school,unknown
594,46,married,management,0,university_degree,0
595,57,married,technician,0,professional_course,1
596,42,married,technician,0,basic_9y,0
597,48,married,admin_,0,professional_course,1
598,58,divorced,admin_,unknown,university_degree,1
599,34,married,services,0,high_school,0
600,32,single,admin_,0,university_degree,1
601,48,married,blue-collar,0,basic_9y,0
602,47,married,blue-collar,0,basic_9y,0
603,31,married,services,unknown,high_school,0
604,32,single,admin_,0,university_degree,1
605,32,single,admin_,0,university_degree,0
606,36,married,services,0,high_school,0
607,53,married,blue-collar,unknown,basic_4y,0
608,37,married,blue-collar,unknown,basic_9y,0
609,50,married,services,0,high_school,0
610,46,married,blue-collar,0,basic_6y,1
611,41,married,admin_,0,high_school,0
612,43,single,blue-collar,0,basic_4y,0
613,51,married,management,0,university_degree,1
614,38,married,admin_,0,university_degree,1
615,41,married,technician,0,basic_6y,1
616,39,married,services,unknown,high_school,0
617,52,married,blue-collar,0,basic_4y,0
618,37,married,technician,0,professional_course,1
619,41,married,admin_,0,basic_9y,1
620,46,divorced,admin_,0,university_degree,1
621,47,married,technician,0,professional_course,0
622,35,married,technician,0,professional_course,0
623,38,married,services,unknown,high_school,0
624,30,single,blue-collar,0,,1
625,46,married,blue-collar,0,basic_9y,1
626,30,married,technician,0,professional_course,0
627,35,single,services,0,basic_4y,0
628,58,married,admin_,unknown,,1
629,40,married,technician,0,professional_course,0
630,34,married,technician,0,university_degree,0
631,30,single,admin_,0,university_degree,0
632,38,married,services,0,basic_6y,0
633,55,single,management,0,basic_4y,0
634,55,married,management,unknown,university_degree,1
635,45,single,technician,0,professional_course,1
636,36,married,admin_,0,university_degree,1
637,32,single,admin_,0,university_degree,0
638,35,married,technician,unknown,,1
639,55,divorced,management,0,university_degree,1
640,49,married,housemaid,unknown,basic_4y,unknown
641,29,married,admin_,0,high_school,1
642,34,married,blue-collar,0,basic_4y,1
643,54,married,retired,unknown,high_school,1
644,36,single,technician,0,professional_course,0
645,30,single,management,0,university_degree,1
646,33,divorced,housemaid,0,university_degree,0
647,37,married,blue-collar,0,high_school,0
648,36,married,technician,unknown,basic_9y,1
649,33,married,blue-collar,0,high_school,0
650,32,married,housemaid,0,high_school,1
651,32,married,housemaid,0,high_school,0
652,50,married,blue-collar,unknown,basic_4y,1
653,39,married,blue-collar,0,basic_9y,0
654,51,divorced,blue-collar,unknown,,1
655,33,married,services,0,high_school,0
656,33,married,services,0,basic_4y,0
657,56,married,management,unknown,university_degree,0
658,39,divorced,management,unknown,university_degree,1
659,33,single,self-employed,0,university_degree,0
660,59,divorced,retired,unknown,basic_4y,0
661,42,single,admin_,0,,1
662,43,married,services,0,high_school,0
663,35,married,admin_,0,university_degree,unknown
664,46,married,blue-collar,unknown,basic_6y,1
665,27,married,technician,0,basic_9y,0
666,47,divorced,admin_,0,university_degree,1
667,31,single,admin_,0,university_degree,0
668,32,married,blue-collar,0,basic_9y,1
669,54,married,admin_,0,high_school,0
670,56,married,management,unknown,university_degree,0
671,48,single,services,unknown,high_school,1
672,44,married,admin_,0,high_school,1
673,46,married,admin_,0,high_school,0
674,45,married,services,0,high_school,1
675,43,married,admin_,0,professional_course,0
676,40,single,admin_,unknown,high_school,0
677,56,married,management,0,university_degree,1
678,47,married,entrepreneur,0,professional_course,0
679,39,divorced,management,unknown,university_degree,1
680,48,married,technician,unknown,basic_4y,0
681,45,married,housemaid,unknown,professional_course,1
682,36,married,self-employed,0,university_degree,0
683,49,married,management,unknown,professional_course,1
684,46,married,services,0,high_school,0
685,38,married,blue-collar,0,basic_9y,1
686,50,married,housemaid,unknown,basic_4y,1
687,27,single,admin_,0,high_school,1
688,40,married,technician,unknown,professional_course,1
689,46,married,management,0,university_degree,1
690,40,divorced,admin_,0,university_degree,1
691,33,single,management,0,university_degree,0
692,54,married,retired,0,high_school,1
693,52,married,blue-collar,unknown,basic_4y,1
694,53,married,admin_,unknown,university_degree,1
695,49,married,services,unknown,high_school,0
696,42,married,blue-collar,unknown,basic_4y,0
697,49,married,housemaid,0,basic_4y,0
698,40,married,entrepreneur,0,basic_9y,0
699,59,married,admin_,unknown,university_degree,0
700,51,married,self-employed,0,basic_9y,1
701,57,married,housemaid,unknown,basic_6y,1
702,38,divorced,self-employed,0,basic_9y,1
703,52,married,self-employed,0,university_degree,0
704,26,single,unemployed,0,basic_9y,1
705,35,married,admin_,0,university_degree,1
