client_id,number_contacts,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome
144,1,73,0,nonexistent,0
145,1,528,0,nonexistent,0
146,1,541,0,nonexistent,0
147,1,338,0,nonexistent,0
148,1,163,0,nonexistent,0
149,1,87,0,nonexistent,0
150,1,301,0,nonexistent,0
151,1,46,0,nonexistent,0
152,1,52,0,nonexistent,0
153,1,204,0,nonexistent,0
154,1,155,0,nonexistent,0
155,1,98,0,nonexistent,0
156,1,71,0,nonexistent,0
157,1,243,0,nonexistent,0
158,2,186,0,nonexistent,0
159,2,579,0,nonexistent,0
160,2,165,0,nonexistent,0
161,2,163,0,nonexistent,0
162,1,46,0,nonexistent,0
163,3,559,0,nonexistent,0
164,1,2033,0,nonexistent,0
165,1,85,0,nonexistent,0
166,1,506,0,nonexistent,0
167,2,114,0,nonexistent,0
168,2,114,0,nonexistent,0
169,2,843,0,nonexistent,0
170,1,181,0,nonexistent,0
171,1,427,0,nonexistent,0
172,1,292,0,nonexistent,0
173,1,192,0,nonexistent,0
174,3,93,0,nonexistent,0
175,2,128,0,nonexistent,0
176,1,107,0,nonexistent,0
177,2,303,0,nonexistent,0
178,1,81,0,nonexistent,0
179,1,270,0,nonexistent,0
180,1,228,0,nonexistent,0
181,1,240,0,nonexistent,0
182,2,673,0,nonexistent,1
183,3,233,0,nonexistent,0
184,1,102,0,nonexistent,0
185,1,461,0,nonexistent,0
186,1,250,0,nonexistent,0
187,1,130,0,nonexistent,0
188,1,252,0,nonexistent,0
189,1,138,0,nonexistent,0
190,1,412,0,nonexistent,0
191,2,179,0,nonexistent,0
192,2,19,0,nonexistent,0
193,2,228,0,nonexistent,0
194,1,55,0,nonexistent,0
195,1,717,0,nonexistent,0
196,1,313,0,nonexistent,0
197,1,289,0,nonexistent,0
198,2,683,0,nonexistent,0
199,1,1077,0,nonexistent,0
200,2,146,0,nonexistent,0
201,1,167,0,nonexistent,0
202,2,356,0,nonexistent,0
203,1,277,0,nonexistent,0
204,1,172,0,nonexistent,0
205,1,218,0,nonexistent,0
206,1,217,0,nonexistent,0
207,1,67,0,nonexistent,0
208,1,291,0,nonexistent,0
209,1,248,0,nonexistent,0
210,1,256,0,nonexistent,0
211,1,286,0,nonexistent,0
212,1,477,0,nonexistent,0
213,2,611,0,nonexistent,0
214,1,471,0,nonexistent,0
215,2,381,0,nonexistent,0
216,1,251,0,nonexistent,0
217,1,408,0,nonexistent,0
218,1,287,0,nonexistent,0
219,3,322,0,nonexistent,0
220,2,216,0,nonexistent,0
221,2,366,0,nonexistent,0
222,1,210,0,nonexistent,0
223,1,288,0,nonexistent,0
224,1,168,0,nonexistent,0
225,1,132,0,nonexistent,0
226,2,64,0,nonexistent,0
227,2,209,0,nonexistent,0
228,3,410,0,nonexistent,0
229,1,177,0,nonexistent,0
230,2,580,0,nonexistent,0
231,1,165,0,nonexistent,0
232,2,127,0,nonexistent,0
233,1,357,0,nonexistent,0
234,1,175,0,nonexistent,0
235,1,300,0,nonexistent,0
236,1,136,0,nonexistent,0
237,2,125,0,nonexistent,0
238,2,189,0,nonexistent,0
239,3,213,0,nonexistent,0
240,2,238,0,nonexistent,0
241,1,124,0,nonexistent,0
242,1,18,0,nonexistent,0
243,2,730,0,nonexistent,0
244,1,40,0,nonexistent,0
245,2,181,0,nonexistent,0
246,1,79,0,nonexistent,0
247,2,142,0,nonexistent,0
248,1,389,0,nonexistent,0
249,1,702,0,nonexistent,0
250,1,151,0,nonexistent,0
251,1,211,0,nonexistent,0
252,1,117,0,nonexistent,0
253,3,232,0,nonexistent,0
254,2,408,0,nonexistent,0
255,3,370,0,nonexistent,0
256,2,179,0,nonexistent,0
257,1,46,0,nonexistent,0
258,1,200,0,nonexistent,0
259,1,50,0,nonexistent,0
260,1,181,0,nonexistent,0
261,1,119,0,nonexistent,0
262,1,361,0,nonexistent,0
263,3,73,0,nonexistent,0
264,2,67,0,nonexistent,0
265,1,350,0,nonexistent,0
266,2,150,0,nonexistent,0
267,2,332,0,nonexistent,0
268,2,611,0,nonexistent,0
269,3,58,0,nonexistent,0
270,1,151,0,nonexistent,0
271,2,89,0,nonexistent,0
272,1,152,0,nonexistent,0
273,2,611,0,nonexistent,0
274,2,110,0,nonexistent,0
275,1,463,0,nonexistent,0
276,1,962,0,nonexistent,0
277,2,102,0,nonexistent,0
278,4,10,0,nonexistent,0
279,3,118,0,nonexistent,0
280,2,92,0,nonexistent,0
281,3,143,0,nonexistent,0
282,3,189,0,nonexistent,0
283,2,75,0,nonexistent,0
284,2,189,0,nonexistent,0
285,2,55,0,nonexistent,0
286,3,935,0,nonexistent,1
287,2,56,0,nonexistent,0
288,2,5,0,nonexistent,0
289,2,225,0,nonexistent,0
290,2,125,0,nonexistent,0
291,2,286,0,nonexistent,0
292,2,206,0,nonexistent,0
293,2,164,0,nonexistent,0
294,2,98,0,nonexistent,0
295,2,446,0,nonexistent,0
296,2,742,0,nonexistent,0
297,2,120,0,nonexistent,0
298,3,122,0,nonexistent,0
299,4,362,0,nonexistent,0
300,2,357,0,nonexistent,0
301,2,200,0,nonexistent,0
302,2,107,0,nonexistent,0
303,2,267,0,nonexistent,0
304,2,248,0,nonexistent,0
305,2,215,0,nonexistent,0
306,2,209,0,nonexistent,0
307,2,205,0,nonexistent,0
308,3,261,0,nonexistent,0
309,2,83,0,nonexistent,0
310,3,106,0,nonexistent,0
311,2,106,0,nonexistent,0
312,2,108,0,nonexistent,0
313,2,214,0,nonexistent,0
314,2,358,0,nonexistent,0
315,2,453,0,nonexistent,0
316,2,364,0,nonexistent,0
317,2,136,0,nonexistent,0
318,2,173,0,nonexistent,0
319,2,241,0,nonexistent,0
320,3,224,0,nonexistent,0
321,2,148,0,nonexistent,0
322,2,230,0,nonexistent,0
323,3,199,0,nonexistent,0
324,2,196,0,nonexistent,0
325,4,111,0,nonexistent,0
326,3,231,0,nonexistent,0
327,3,316,0,nonexistent,0
328,2,240,0,nonexistent,0
329,3,669,0,nonexistent,0
330,2,425,0,nonexistent,0
331,2,121,0,nonexistent,0
332,5,174,0,nonexistent,0
333,5,88,0,nonexistent,0
334,3,313,0,nonexistent,0
335,4,135,0,nonexistent,0
336,2,152,0,nonexistent,0
337,3,402,0,nonexistent,0
338,2,221,0,nonexistent,0
339,2,213,0,nonexistent,0
340,3,144,0,nonexistent,0
341,3,158,0,nonexistent,0
342,3,220,0,nonexistent,0
343,2,325,0,nonexistent,0
344,2,254,0,nonexistent,0
345,2,503,0,nonexistent,0
346,2,680,0,nonexistent,0
347,4,421,0,nonexistent,0
348,3,130,0,nonexistent,0
349,2,164,0,nonexistent,0
350,3,174,0,nonexistent,0
351,2,113,0,nonexistent,0
352,2,195,0,nonexistent,0
353,3,347,0,nonexistent,0
354,2,208,0,nonexistent,0
355,4,404,0,nonexistent,0
356,2,396,0,nonexistent,0
357,2,98,0,nonexistent,0
358,3,229,0,nonexistent,0
359,2,350,0,nonexistent,0
360,3,88,0,nonexistent,0
361,2,379,0,nonexistent,0
362,3,168,0,nonexistent,0
363,3,190,0,nonexistent,0
364,1,158,0,nonexistent,0
365,1,210,0,nonexistent,0
366,1,102,0,nonexistent,0
367,1,306,0,nonexistent,0
368,1,64,0,nonexistent,0
369,1,218,0,nonexistent,0
370,1,77,0,nonexistent,0
371,1,54,0,nonexistent,0
372,1,344,0,nonexistent,0
373,1,195,0,nonexistent,0
374,1,202,0,nonexistent,0
375,1,286,0,nonexistent,0
376,1,278,0,nonexistent,0
377,1,189,0,nonexistent,0
378,1,83,0,nonexistent,0
379,1,18,0,nonexistent,0
380,2,184,0,nonexistent,0
381,1,235,0,nonexistent,0
382,1,290,0,nonexistent,0
383,1,133,0,nonexistent,0
384,1,318,0,nonexistent,0
385,1,437,0,nonexistent,0
386,1,402,0,nonexistent,0
387,4,501,0,nonexistent,0
388,1,1201,0,nonexistent,1
389,1,1030,0,nonexistent,1
390,1,253,0,nonexistent,0
391,1,149,0,nonexistent,0
392,1,144,0,nonexistent,0
393,1,69,0,nonexistent,0
394,1,243,0,nonexistent,0
395,2,769,0,nonexistent,0
396,3,135,0,nonexistent,0
397,1,231,0,nonexistent,0
398,2,442,0,nonexistent,0
399,1,199,0,nonexistent,0
400,1,455,0,nonexistent,0
401,1,152,0,nonexistent,0
402,1,124,0,nonexistent,0
403,1,424,0,nonexistent,0
404,1,43,0,nonexistent,0
405,1,154,0,nonexistent,0
406,1,393,0,nonexistent,0
407,2,203,0,nonexistent,0
408,2,140,0,nonexistent,0
409,1,326,0,nonexistent,0
410,1,483,0,nonexistent,0
411,1,259,0,nonexistent,0
412,1,227,0,nonexistent,0
413,1,673,0,nonexistent,0
414,1,576,0,nonexistent,0
415,2,180,0,nonexistent,0
416,1,90,0,nonexistent,0
417,1,505,0,nonexistent,0
418,1,245,0,nonexistent,0
419,1,186,0,nonexistent,0
420,1,208,0,nonexistent,0
421,1,623,0,nonexistent,0
422,1,180,0,nonexistent,0
423,3,496,0,nonexistent,0
424,1,118,0,nonexistent,0
425,2,102,0,nonexistent,0
426,1,342,0,nonexistent,0
427,1,225,0,nonexistent,0
428,3,185,0,nonexistent,0
429,1,276,0,nonexistent,0
430,1,87,0,nonexistent,0
431,1,744,0,nonexistent,0
432,1,262,0,nonexistent,0
433,1,271,0,nonexistent,0
434,1,141,0,nonexistent,0
435,2,198,0,nonexistent,0
436,1,150,0,nonexistent,0
437,1,241,0,nonexistent,0
438,1,196,0,nonexistent,0
439,1,149,0,nonexistent,0
440,1,264,0,nonexistent,0
441,1,246,0,nonexistent,0
442,2,309,0,nonexistent,0
443,1,140,0,nonexistent,0
444,1,175,0,nonexistent,0
445,1,136,0,nonexistent,0
446,1,1623,0,nonexistent,1
447,1,50,0,nonexistent,0
448,1,101,0,nonexistent,0
449,1,144,0,nonexistent,0
450,1,238,0,nonexistent,0
451,1,354,0,nonexistent,0
452,2,451,0,nonexistent,0
453,1,159,0,nonexistent,0
454,1,170,0,nonexistent,0
455,1,243,0,nonexistent,0
456,2,141,0,nonexistent,0
457,1,112,0,nonexistent,0
458,2,262,0,nonexistent,0
459,1,53,0,nonexistent,0
460,1,134,0,nonexistent,0
461,4,204,0,nonexistent,0
462,1,678,0,nonexistent,0
463,1,182,0,nonexistent,0
464,1,162,0,nonexistent,0
465,1,177,0,nonexistent,0
466,1,27,0,nonexistent,0
467,3,699,0,nonexistent,0
468,1,358,0,nonexistent,0
469,1,1677,0,nonexistent,1
470,1,529,0,nonexistent,0
471,1,310,0,nonexistent,0
472,1,47,0,nonexistent,0
473,1,379,0,nonexistent,0
474,2,30,0,nonexistent,0
475,1,472,0,nonexistent,0
476,1,113,0,nonexistent,0
477,1,114,0,nonexistent,0
478,1,116,0,nonexistent,0
479,1,448,0,nonexistent,0
480,1,264,0,nonexistent,0
481,1,169,0,nonexistent,0
482,1,145,0,nonexistent,0
483,1,288,0,nonexistent,0
484,1,381,0,nonexistent,0
485,2,176,0,nonexistent,0
486,1,215,0,nonexistent,0
487,1,278,0,nonexistent,0
488,2,188,0,nonexistent,0
489,2,174,0,nonexistent,0
490,2,226,0,nonexistent,0
491,2,111,0,nonexistent,0
492,2,157,0,nonexistent,0
493,1,46,0,nonexistent,0
494,1,49,0,nonexistent,0
495,1,374,0,nonexistent,0
496,1,349,0,nonexistent,0
497,1,325,0,nonexistent,0
498,2,233,0,nonexistent,0
499,1,531,0,nonexistent,0
500,1,153,0,nonexistent,0
501,1,80,0,nonexistent,0
502,1,198,0,nonexistent,0
503,1,568,0,nonexistent,0
504,1,918,0,nonexistent,1
505,1,82,0,nonexistent,0
506,3,198,0,nonexistent,0
507,1,211,0,nonexistent,0
508,1,120,0,nonexistent,0
509,1,269,0,nonexistent,0
510,1,128,0,nonexistent,0
511,2,166,0,nonexistent,0
512,1,211,0,nonexistent,0
513,1,369,0,nonexistent,0
514,1,91,0,nonexistent,0
515,2,267,0,nonexistent,0
516,1,198,0,nonexistent,0
517,2,371,0,nonexistent,0
518,2,288,0,nonexistent,0
519,1,221,0,nonexistent,0
520,1,427,0,nonexistent,0
521,1,310,0,nonexistent,0
522,1,158,0,nonexistent,0
523,1,198,0,nonexistent,0
524,1,145,0,nonexistent,0
525,1,247,0,nonexistent,0
526,1,102,0,nonexistent,0
527,2,179,0,nonexistent,0
528,1,73,0,nonexistent,0
529,2,263,0,nonexistent,0
530,2,342,0,nonexistent,0
531,1,41,0,nonexistent,0
532,1,13,0,nonexistent,0
533,2,79,0,nonexistent,0
534,1,358,0,nonexistent,0
535,1,162,0,nonexistent,0
536,1,150,0,nonexistent,0
537,1,26,0,nonexistent,0
538,1,250,0,nonexistent,0
539,1,792,0,nonexistent,0
540,1,146,0,nonexistent,0
541,1,440,0,nonexistent,0
542,1,289,0,nonexistent,0
543,2,242,0,nonexistent,0
544,1,123,0,nonexistent,0
545,2,161,0,nonexistent,0
546,2,268,0,nonexistent,0
547,2,259,0,nonexistent,0
548,1,26,0,nonexistent,0
549,1,153,0,nonexistent,0
550,2,424,0,nonexistent,0
551,1,375,0,nonexistent,0
552,2,179,0,nonexistent,0
553,1,383,0,nonexistent,0
554,1,440,0,nonexistent,0
555,1,195,0,nonexistent,0
556,3,1297,0,nonexistent,1
557,1,217,0,nonexistent,0
558,1,87,0,nonexistent,0
559,1,427,0,nonexistent,0
560,1,189,0,nonexistent,0
561,1,502,0,nonexistent,0
562,1,260,0,nonexistent,0
563,1,209,0,nonexistent,0
564,1,179,0,nonexistent,0
565,1,179,0,nonexistent,0
566,1,69,0,nonexistent,0
567,2,105,0,nonexistent,0
568,3,266,0,nonexistent,0
569,2,87,0,nonexistent,0
570,2,524,0,nonexistent,0
571,2,155,0,nonexistent,0
572,2,162,0,nonexistent,0
573,4,316,0,nonexistent,0
574,2,352,0,nonexistent,0
575,3,695,0,nonexistent,0
576,4,76,0,nonexistent,0
577,2,535,0,nonexistent,0
578,2,310,0,nonexistent,0
579,3,390,0,nonexistent,0
580,1,369,0,nonexistent,0
581,2,112,0,nonexistent,0
582,1,79,0,nonexistent,0
583,2,140,0,nonexistent,0
584,1,315,0,nonexistent,0
585,2,262,0,nonexistent,0
586,2,174,0,nonexistent,0
587,2,424,0,nonexistent,0
588,1,135,0,nonexistent,0
589,5,36,0,nonexistent,0
590,3,1906,0,nonexistent,0
591,2,219,0,nonexistent,0
592,1,135,0,nonexistent,0
593,2,147,0,nonexistent,0
594,2,407,0,nonexistent,0
595,4,402,0,nonexistent,0
596,1,209,0,nonexistent,0
597,2,92,0,nonexistent,0
598,1,208,0,nonexistent,0
599,1,193,0,nonexistent,0
600,1,65,0,nonexistent,0
601,2,284,0,nonexistent,0
602,1,285,0,nonexistent,0
603,1,231,0,nonexistent,0
604,1,278,0,nonexistent,0
605,1,389,0,nonexistent,0
606,1,158,0,nonexistent,0
607,2,78,0,nonexistent,0
608,5,258,0,nonexistent,0
609,1,87,0,nonexistent,0
610,2,147,0,nonexistent,0
611,1,635,0,nonexistent,0
612,1,289,0,nonexistent,0
613,3,170,0,nonexistent,0
614,1,802,0,nonexistent,0
615,2,381,0,nonexistent,0
616,4,218,0,nonexistent,0
617,2,57,0,nonexistent,0
618,2,304,0,nonexistent,0
619,3,241,0,nonexistent,0
620,1,230,0,nonexistent,0
621,4,79,0,nonexistent,0
622,3,262,0,nonexistent,0
623,2,392,0,nonexistent,0
624,2,201,0,nonexistent,0
625,1,145,0,nonexistent,0
626,1,252,0,nonexistent,0
627,1,329,0,nonexistent,0
628,2,328,0,nonexistent,0
629,2,191,0,nonexistent,0
630,2,116,0,nonexistent,0
631,1,246,0,nonexistent,0
632,2,532,0,nonexistent,0
633,1,293,0,nonexistent,0
634,3,416,0,nonexistent,0
635,2,37,0,nonexistent,0
636,2,132,0,nonexistent,0
637,2,530,0,nonexistent,0
638,3,175,0,nonexistent,0
639,5,90,0,nonexistent,0
640,2,524,0,nonexistent,0
641,3,29,0,nonexistent,0
642,2,311,0,nonexistent,0
643,1,412,0,nonexistent,0
644,2,211,0,nonexistent,0
645,3,312,0,nonexistent,0
646,1,392,0,nonexistent,0
647,1,191,0,nonexistent,0
648,2,284,0,nonexistent,0
649,1,328,0,nonexistent,0
650,1,100,0,nonexistent,0
651,1,226,0,nonexistent,0
652,1,507,0,nonexistent,0
653,2,333,0,nonexistent,0
654,2,128,0,nonexistent,0
655,2,322,0,nonexistent,0
656,4,202,0,nonexistent,0
657,2,92,0,nonexistent,0
658,2,205,0,nonexistent,0
659,3,739,0,nonexistent,0
660,2,273,0,nonexistent,0
661,3,339,0,nonexistent,0
662,1,262,0,nonexistent,0
663,3,308,0,nonexistent,0
664,2,467,0,nonexistent,0
665,2,245,0,nonexistent,0
666,3,160,0,nonexistent,0
667,2,189,0,nonexistent,0
668,1,477,0,nonexistent,0
669,3,65,0,nonexistent,0
670,1,191,0,nonexistent,0
671,2,196,0,nonexistent,0
672,2,221,0,nonexistent,0
673,2,197,0,nonexistent,0
674,2,178,0,nonexistent,0
675,2,221,0,nonexistent,0
676,2,64,0,nonexistent,0
677,2,75,0,nonexistent,0
678,2,400,0,nonexistent,0
679,3,378,0,nonexistent,0
680,2,118,0,nonexistent,0
681,2,1597,0,nonexistent,1
682,2,346,0,nonexistent,0
683,2,107,0,nonexistent,0
684,3,60,0,nonexistent,0
685,2,276,0,nonexistent,0
686,2,176,0,nonexistent,0
687,2,390,0,nonexistent,0
688,3,251,0,nonexistent,0
689,2,716,0,nonexistent,0
690,3,189,0,nonexistent,0
691,2,125,0,nonexistent,0
692,2,234,0,nonexistent,0
693,2,79,0,nonexistent,0
694,6,13,0,nonexistent,0
695,3,296,0,nonexistent,0
696,2,114,0,nonexistent,0
697,3,283,0,nonexistent,0
698,2,109,0,nonexistent,0
699,2,132,0,nonexistent,0
700,2,144,0,nonexistent,0
701,2,121,0,nonexistent,0
702,3,95,0,nonexistent,0
703,3,31,0,nonexistent,0
704,3,112,0,nonexistent,0
705,2,161,0,nonexistent,0
706,4,87,0,nonexistent,0
707,2,593,0,nonexistent,0
708,2,99,0,nonexistent,0
709,2,198,0,nonexistent,0
710,2,285,0,nonexistent,0
711,3,190,0,nonexistent,0
712,5,172,0,nonexistent,0
713,2,178,0,nonexistent,0
714,2,174,0,nonexistent,0
715,2,631,0,nonexistent,0
716,3,152,0,nonexistent,0
717,5,176,0,nonexistent,0
718,3,32,0,nonexistent,0
719,2,1529,0,nonexistent,0
720,2,254,0,nonexistent,0
721,2,214,0,nonexistent,0
722,3,147,0,nonexistent,0
723,4,800,0,nonexistent,0
724,2,106,0,nonexistent,0
725,2,135,0,nonexistent,0
726,4,112,0,nonexistent,0
727,2,222,0,nonexistent,0
728,3,314,0,nonexistent,0
729,2,421,0,nonexistent,0
730,2,410,0,nonexistent,0
731,3,207,0,nonexistent,0
732,2,239,0,nonexistent,0
733,4,83,0,nonexistent,0
734,3,160,0,nonexistent,0
735,3,42,0,nonexistent,0
736,2,55,0,nonexistent,0
737,2,157,0,nonexistent,0
738,3,303,0,nonexistent,0
739,3,336,0,nonexistent,0
740,2,233,0,nonexistent,0
741,2,211,0,nonexistent,0
742,5,88,0,nonexistent,0
743,2,139,0,nonexistent,0
744,3,329,0,nonexistent,0
745,2,305,0,nonexistent,0
746,2,206,0,nonexistent,0
747,2,128,0,nonexistent,0
748,3,122,0,nonexistent,0
749,3,343,0,nonexistent,0
750,2,126,0,nonexistent,0
751,3,249,0,nonexistent,0
752,3,59,0,nonexistent,0
753,3,166,0,nonexistent,0
754,3,190,0,nonexistent,0
755,2,216,0,nonexistent,0
756,3,51,0,nonexistent,0
757,3,169,0,nonexistent,0
758,3,148,0,nonexistent,0
759,3,132,0,nonexistent,0
760,3,117,0,nonexistent,0
761,4,275,0,nonexistent,0
762,2,124,0,nonexistent,0
763,3,118,0,nonexistent,0
764,2,479,0,nonexistent,0
765,3,285,0,nonexistent,0
766,2,322,0,nonexistent,0
767,2,202,0,nonexistent,0
768,2,162,0,nonexistent,0
769,3,216,0,nonexistent,0
770,2,195,0,nonexistent,0
771,2,96,0,nonexistent,0
772,2,149,0,nonexistent,0
773,2,720,0,nonexistent,0
774,2,92,0,nonexistent,0
775,2,188,0,nonexistent,0
776,2,70,0,nonexistent,0
777,3,141,0,nonexistent,0
778,2,395,0,nonexistent,0
779,2,629,0,nonexistent,0
780,3,261,0,nonexistent,0
781,1,502,0,nonexistent,0
782,1,446,0,nonexistent,0
783,3,131,0,nonexistent,0
784,3,198,0,nonexistent,0
785,1,312,0,nonexistent,0
786,6,275,0,nonexistent,0
787,2,120,0,nonexistent,0
788,4,333,0,nonexistent,0
789,1,113,0,nonexistent,0
790,1,150,0,nonexistent,0
791,1,91,0,nonexistent,0
792,1,296,0,nonexistent,0
793,3,128,0,nonexistent,0
794,1,298,0,nonexistent,0
795,1,326,0,nonexistent,0
796,1,292,0,nonexistent,0
797,1,215,0,nonexistent,0
798,1,97,0,nonexistent,0
799,1,32,0,nonexistent,0
800,1,162,0,nonexistent,0
801,1,421,0,nonexistent,0
802,1,268,0,nonexistent,0
803,1,232,0,nonexistent,0
804,3,152,0,nonexistent,0
805,2,104,0,nonexistent,0
806,1,852,0,nonexistent,0
807,2,159,0,nonexistent,0
808,2,416,0,nonexistent,0
809,1,174,0,nonexistent,0
810,1,139,0,nonexistent,0
811,1,193,0,nonexistent,0
812,1,294,0,nonexistent,0
813,1,102,0,nonexistent,0
814,1,124,0,nonexistent,0
815,1,143,0,nonexistent,0
816,1,231,0,nonexistent,0
817,1,128,0,nonexistent,0
818,1,74,0,nonexistent,0
819,2,105,0,nonexistent,0
820,1,992,0,nonexistent,1
821,1,168,0,nonexistent,0
822,1,250,0,nonexistent,0
823,1,254,0,nonexistent,0
824,1,149,0,nonexistent,0
825,2,133,0,nonexistent,0
826,1,374,0,nonexistent,0
827,6,425,0,nonexistent,0
828,1,207,0,nonexistent,0
829,1,464,0,nonexistent,0
830,1,439,0,nonexistent,0
831,3,83,0,nonexistent,0
832,2,732,0,nonexistent,1
833,1,149,0,nonexistent,0
834,1,142,0,nonexistent,0
835,1,121,0,nonexistent,0
836,1,359,0,nonexistent,0
837,1,112,0,nonexistent,0
838,4,274,0,nonexistent,0
839,2,325,0,nonexistent,0
840,1,1521,0,nonexistent,0
841,1,216,0,nonexistent,0
842,1,161,0,nonexistent,0
843,2,122,0,nonexistent,0
844,1,800,0,nonexistent,0
845,1,615,0,nonexistent,0
846,1,111,0,nonexistent,0
847,1,359,0,nonexistent,0
848,3,327,0,nonexistent,0
849,1,236,0,nonexistent,0
850,1,227,0,nonexistent,0
851,1,109,0,nonexistent,0
852,2,492,0,nonexistent,0
853,1,298,0,nonexistent,0
854,2,83,0,nonexistent,0
855,2,241,0,nonexistent,0
856,1,1138,0,nonexistent,1
857,1,131,0,nonexistent,0
858,1,123,0,nonexistent,0
859,1,125,0,nonexistent,0
860,2,295,0,nonexistent,0
861,1,287,0,nonexistent,0
862,1,109,0,nonexistent,0
863,2,140,0,nonexistent,0
864,1,52,0,nonexistent,0
865,1,233,0,nonexistent,0
866,1,254,0,nonexistent,0
867,1,255,0,nonexistent,0
